phi_raw,energy_hartree,step,phi_deg,psi_raw,psi_deg,source_file,deltaE_kcal,boltzmann_weight,population
-99.1033534216,-535.166053873,0,-99.1033534216,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,0.0,1.0,0.023521087240116045
-89.1033534216,-535.165824063,1,-89.1033534216,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,0.14420795226034527,0.7851392297496428,0.018467328318578863
-79.1033534216,-535.165175013,2,-79.1033534216,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,0.5514929763554722,0.39650226128270927,0.009326164278533892
-69.1033534216,-535.164277093,3,-69.1033534216,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,1.1149462832138104,0.15409140541054162,0.003624397389613439
-59.1033534216,-535.163349743,4,-59.10335342159999,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,1.6968671939173956,0.05805742804070365,0.0013655738298821501
-49.1033534216,-535.162583065,5,-49.10335342159999,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,2.177964902419033,0.025905104824630622,0.000609316230544488
-39.1033534216,-535.161763916,6,-39.10335342159999,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,2.6919886605331875,0.010937719558218897,0.0002572670559367902
-29.1033534216,-535.160506874,7,-29.10335342159999,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,3.480794424761766,0.0029126859356709204,6.850953999597475e-05
-19.1033534216,-535.158904927,8,-19.10335342159999,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,4.486031344132824,0.0005395027901373855,1.2689692193107464e-05
-9.1033534216,-535.156840774,9,-9.10335342159999,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,5.781306907413373,6.14334556625952e-05,1.4449816701017028e-06
0.8966465784,-535.154544466,10,0.8966465784000093,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,7.222261932661018,5.478868796428258e-06,1.2886895093793866e-07
10.8966465784,-535.152996741,11,10.89664657840001,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,8.19347403325082,1.0744284634580772e-06,2.5271725622261268e-08
20.8966465784,-535.151426676,12,20.89664657840001,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,9.178704695552835,2.0580304607687103e-07,4.840711401055706e-09
30.8966465784,-535.149647865,13,30.89664657840001,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,10.29492545051347,3.164475817297849e-08,7.443191176790024e-10
40.8966465784,-535.147554621,14,40.89664657840001,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,11.608455891894371,3.494738041815329e-09,8.220003836289068e-11
50.8966465784,-535.145279444,15,50.89664657840001,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,13.036151014422117,3.1868397251097673e-10,7.495793519457427e-12
60.8966465784,-535.14306887,16,60.89664657840001,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,14.423307142437686,3.1105548514526715e-11,7.316363202618449e-13
70.8966465784,-535.151519968,17,70.89664657840001,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,9.12016308172068,2.2703796365978533e-07,5.3401797500601075e-09
80.8966465784,-535.153141074,18,80.89664657840001,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,8.102903708352414,1.25071000313941e-06,2.941805909592788e-08
90.8966465784,-535.154296269,19,90.89664657840001,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,7.378007901519973,4.219221316258555e-06,9.924067266507473e-08
100.8966465784,-535.155202881,20,100.89664657840001,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,6.809100282281455,1.0956527757159278e-05,2.577094452248964e-07
110.8966465784,-535.156214649,21,110.89664657840001,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,6.174206276783814,3.1782178985063636e-05,7.475514045886647e-07
120.8966465784,-535.157425299,22,120.89664657840001,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,5.414511932109693,0.00011366050029976283,2.6734185433059578e-06
130.8966465784,-535.158909403,23,130.8966465784,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,4.483222611682071,0.000542050581136798,1.2749619007474227e-05
140.8966465784,-535.160456494,24,140.8966465784,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,3.512408352100492,0.002762252584431598,6.497118401765163e-05
150.8966465784,-535.161915847,25,150.8966465784,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,2.596650518635832,0.012834506821872552,0.0003018815546411288
160.8966465784,-535.163118281,26,160.8966465784,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,1.8421117917807996,0.04550397010774504,0.0010703028506759038
170.8966465784,-535.163798559,27,170.8966465784,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,1.4152309018242892,0.09311627447901336,0.0021901960154954644
180.8966465784,-535.164029461,28,-179.1033534216,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,1.2703377092597308,0.118734820899574,0.002792772080818434
190.8966465784,-535.163756535,29,-169.1033534216,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,1.4416013600192146,0.08908715910831551,0.002095426841360788
200.8966465784,-535.163153689,30,-159.1033534216,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,1.8198929363775098,0.04723189725946093,0.0011109455759559786
210.8966465784,-535.162502671,31,-149.1033534216,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,2.2284128991126386,0.02380316723199339,0.0005598763730547881
220.8966465784,-535.162959224,32,-139.1033534216,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,1.9419215661987073,0.038489243147803776,0.0009053088458855314
230.8966465784,-535.164074128,33,-129.1033534216,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,1.242308743586211,0.12445053875969031,0.002927211979246119
240.8966465784,-535.165085483,34,-119.10335342159999,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,0.6076738995428397,0.36084335462352146,0.00848742802411598
250.8966465784,-535.165789174,35,-109.10335342159999,113.4699791,113.46997909999999,sar_2d_1_tot_ener.txt,0.16610113026649898,0.756829108132907,0.017801443478253326
-88.1678782962,-535.165849968,0,-88.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt,0.12795231931784826,0.8068423051110457,0.018977808247533236
-78.1678782962,-535.165651247,1,-78.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt,0.25265162946734404,0.6545564264882661,0.015395878811009112
-68.1678782962,-535.165127,2,-68.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt,0.5816215887109963,0.3769618740970822,0.008866553126835111
-58.1678782962,-535.164375691,3,-58.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt,1.053075104082352,0.17094273133135385,0.004020758896708492
-48.1678782962,-535.163434538,4,-48.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt,1.6436575280565908,0.06347756124402218,0.001493061255810455
