phi_raw,energy_hartree,step,phi_deg,psi_raw,psi_deg,source_file
77.9284401583,-535.154251075,0,77.92844015830002,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
87.9284401583,-535.153507236,1,87.92844015830002,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
97.9284401583,-535.151386601,2,97.92844015830002,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
107.9284401583,-535.148194092,3,107.92844015830002,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
117.9284401583,-535.144497598,4,117.92844015830002,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
127.9284401583,-535.140699813,5,127.92844015830002,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
137.9284401583,-535.136836893,6,137.92844015829996,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
147.9284401583,-535.132973859,7,147.92844015829996,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
157.9284401583,-535.129206937,8,157.92844015829996,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
167.9284401583,-535.126903453,9,167.92844015829996,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
177.9284401583,-535.133173288,10,177.92844015829996,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
187.9284401583,-535.136316296,11,-172.07155984170004,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
197.9284401583,-535.139457415,12,-162.07155984170004,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
207.9284401583,-535.14314746,13,-152.07155984170004,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
217.9284401583,-535.146686829,14,-142.07155984170004,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
227.9284401583,-535.149888868,15,-132.07155984170004,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
237.9284401583,-535.152514485,16,-122.07155984170004,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
247.9284401583,-535.154106997,17,-112.07155984170004,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
257.9284401583,-535.154501825,18,-102.07155984169998,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
267.9284401583,-535.15376743,19,-92.07155984169998,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
277.9284401583,-535.151978604,20,-82.07155984169998,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
287.9284401583,-535.149280569,21,-72.07155984169998,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
297.9284401583,-535.145826145,22,-62.07155984169998,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
307.9284401583,-535.141874567,23,-52.07155984169998,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
317.9284401583,-535.137681248,24,-42.07155984169998,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
327.9284401583,-535.133345897,25,-32.07155984169998,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
337.9284401583,-535.129049762,26,-22.071559841700036,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
347.9284401583,-535.125043767,27,-12.071559841700036,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
357.9284401583,-535.121505348,28,-2.0715598417000365,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
367.9284401583,-535.118554175,29,7.9284401582999635,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
377.9284401583,-535.1372677,30,17.928440158299964,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
387.9284401583,-535.141356983,31,27.928440158299964,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
397.9284401583,-535.145263649,32,37.92844015829996,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
407.9284401583,-535.148808425,33,47.92844015829996,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
417.9284401583,-535.15167175,34,57.92844015829996,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
427.9284401583,-535.153568271,35,67.92844015829996,373.4699791,13.469979100000046,sar_2d_27_tot_ener.txt
