phi_raw,energy_hartree,step,phi_deg,psi_raw,psi_deg,source_file
-88.1678782962,-535.165849968,0,-88.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
-78.1678782962,-535.165651247,1,-78.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
-68.1678782962,-535.165127,2,-68.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
-58.1678782962,-535.164375691,3,-58.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
-48.1678782962,-535.163434538,4,-48.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
-38.1678782962,-535.162243811,5,-38.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
-28.1678782962,-535.160548733,6,-28.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
-18.1678782962,-535.158430052,7,-18.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
-8.1678782962,-535.15608299,8,-8.167878296200001,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
1.8321217038,-535.15425306,9,1.8321217037999986,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
11.8321217038,-535.152557761,10,11.832121703799999,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
21.8321217038,-535.150550815,11,21.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
31.8321217038,-535.148236252,12,31.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
41.8321217038,-535.145568273,13,41.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
51.8321217038,-535.142636545,14,51.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
61.8321217038,-535.139727976,15,61.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
71.8321217038,-535.151457859,16,71.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
81.8321217038,-535.153224009,17,81.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
91.8321217038,-535.154452547,18,91.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
101.8321217038,-535.155351261,19,101.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
111.8321217038,-535.156272284,20,111.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
121.8321217038,-535.157374448,21,121.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
131.8321217038,-535.158731813,22,131.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
141.8321217038,-535.160189628,23,141.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
151.8321217038,-535.161584187,24,151.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
161.8321217038,-535.162722084,25,161.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
171.8321217038,-535.16338033,26,171.8321217038,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
181.8321217038,-535.163596824,27,-178.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
191.8321217038,-535.163308165,28,-168.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
201.8321217038,-535.162621369,29,-158.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
211.8321217038,-535.161877219,30,-148.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
221.8321217038,-535.162089158,31,-138.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
231.8321217038,-535.16307372,32,-128.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
241.8321217038,-535.164168601,33,-118.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
251.8321217038,-535.165062626,34,-108.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
261.8321217038,-535.165639611,35,-98.1678782962,123.4699791,123.46997909999999,sar_2d_2_tot_ener.txt
