#"Step","Potential Energy (kJ/mole)","Temperature (K)"
501000,84.2627693839313,223.80917216316593
502000,85.59164727741882,204.62996183794854
503000,95.44380851543974,219.47663100205668
504000,95.56643055430322,349.1090055912694
505000,118.13600780643173,312.5681118226142
506000,104.82632589247805,260.8159458747572
507000,85.45307309154305,307.64766893073784
508000,77.84561223667697,456.5443759445484
509000,79.55932132059934,308.2291894729821
510000,81.07932566101954,238.4942696819671
511000,80.82288265197712,315.02506276457035
512000,115.07024285863918,294.7754623648386
513000,72.67920237731596,344.0124014882827
514000,102.76347616681778,328.59699420051
515000,104.01689927860946,271.83649923889595
516000,123.92175864856108,259.6994014766686
517000,73.23184647887297,318.21321737631854
518000,78.50012830714695,257.3738107625662
519000,106.78212736727437,248.50393340725395
520000,93.21295348889453,221.9421057326358
521000,93.11765110630222,394.47625279840844
522000,80.85550491763661,225.70752235245254
523000,78.53632930351887,366.97939505089164
524000,60.183983677961805,291.26738297942126
525000,92.2536278166881,292.6351384774693
526000,149.8513416566475,325.35911703113925
527000,91.14515858168124,288.77067812366323
528000,92.00334108994412,304.16769672640373
529000,111.72438915691828,358.4268112913191
530000,90.78124861480774,338.73097744191347
531000,94.90501099743415,267.04222999804716
532000,73.319571320867,214.92156981368154
533000,88.53122813744028,390.5151079975215
534000,87.22331800748361,340.81703992669827
535000,97.933395303,378.24377261635965
536000,89.21001362109837,406.50316165018836
537000,79.69339648033838,323.65805271385847
538000,86.79147626284976,287.82109654225076
539000,94.87152782839257,230.6425866677656
540000,102.71074989229942,265.92325732017724
541000,63.78407716741145,247.52734355598835
542000,86.31673655285749,272.8097654569866
543000,89.92217527189132,245.26995043021114
544000,81.52999387003376,318.34372163554303
545000,80.73284861138376,336.8222833922458
546000,138.52932082460757,354.93512320335225
547000,75.33916416465217,303.54789292982434
548000,86.95970656796942,251.14213092235377
549000,94.39672689989311,257.67994075683356
550000,108.70680265532883,416.70474243301055
551000,119.52976294443943,247.45823284741402
552000,86.89406978199258,256.6360193932778
553000,78.48277285918084,340.0997471683127
554000,91.6256550785838,256.9253516085118
555000,78.1392595066136,386.54252511085923
556000,87.84410190115341,238.83398471164998
557000,70.4870324754188,287.0835617107313
558000,79.57653368154149,262.6971289509279
559000,79.09193507099917,371.6715554333045
560000,65.58888497389125,349.2157503151633
561000,83.65284602176166,323.2798686491587
562000,104.15375638478145,255.71214540883318
563000,98.22186115099976,465.3989857602293
564000,83.82289989549463,301.5841352601997
565000,106.61415307363495,302.62180865915695
566000,91.60721397715133,377.910324834827
567000,90.19783976282088,192.75881892151406
568000,86.2128362454132,385.453769102276
569000,103.62413239106536,243.93547292054555
570000,108.3729733351538,251.57820270192315
571000,90.74529144156259,226.62804343144654
572000,108.41434214066248,242.77309158396432
573000,74.49682531414783,308.79317475289974
574000,116.15520494725206,347.8224889799866
575000,106.16371056083153,387.3889872804215
576000,95.84525321358888,264.51362191584474
577000,78.92623543874652,359.8642520926984
578000,91.40592995641055,280.14018865295765
579000,84.51382735988591,311.5171409223833
580000,87.44464346642371,335.6245962251124
581000,90.18251886577673,265.68428898840995
582000,99.00934492463784,317.3408630880128
583000,82.60439074977694,290.8457378622999
584000,101.21819416915969,325.61872908852
585000,82.68138951868542,180.8609798995863
586000,89.38953380519524,228.12297824643974
587000,87.81266793003851,350.11566217952924
588000,89.13515674106566,382.5865462456
589000,80.98267408279833,199.10778241789987
590000,108.77637368884461,254.3232421111513
591000,89.30856211195169,242.63831950507705
592000,114.95957588843339,252.62770789663864
593000,78.33560052834571,314.9885263421237
594000,98.19290234276923,203.36630422680037
595000,79.09099250036525,272.0411683233887
596000,74.9513289831898,273.96866600162605
597000,77.1997474340169,220.37397327436616
598000,84.25482270437988,311.28333978300674
599000,140.8352917242737,299.42314270689
600000,63.908136764560595,290.1122853146863
