#"Step","Potential Energy (kJ/mole)","Temperature (K)"
401000,90.3544986381088,313.2135333775783
402000,85.58753370499471,266.68628247891576
403000,72.03947625134606,372.79123407320674
404000,68.18271995546093,419.5880869149546
405000,82.2390732706408,224.99194168007529
406000,69.5563548115897,229.0216540256974
407000,78.31543263800995,374.3826489325829
408000,69.19845292890386,281.28975166984975
409000,72.24508913058526,273.72680325017376
410000,102.59639454164426,271.95612812613416
411000,71.53421827983038,367.1421911118232
412000,89.22971185007918,474.4857914472445
413000,77.54469474454618,264.0715566187345
414000,93.01564421685543,355.2821365065389
415000,89.80651281842836,273.84721135384007
416000,97.10883202591901,310.6028811843389
417000,83.60385386142298,306.60328702164486
418000,69.71566248624003,305.4266331074185
419000,90.07750247179865,219.97255948169553
420000,72.99790419462988,329.94380539835413
421000,76.92982492678266,294.18275557616045
422000,75.16833711120222,238.28104974831422
423000,65.07530070756093,334.9314534073195
424000,60.617261735036664,293.74635269538794
425000,79.5612496069877,293.6532358022232
426000,87.87594049408654,270.3990759429247
427000,82.92026496551057,222.3567775339953
428000,92.69949547421129,295.9519481406212
429000,85.16651745869603,313.51262462046225
430000,96.93392244496499,324.429603765187
431000,59.55994379357435,433.22743904632324
432000,66.61542098880454,231.35592158600872
433000,103.75228923885152,281.77389659701834
434000,78.43117722251918,206.008807540326
435000,72.10999637383975,318.10091026663594
436000,76.96048460318707,300.1272400283684
437000,95.79307588550728,298.2356561445209
438000,68.90874197088851,312.5464553188965
439000,132.58232916460838,315.45998340384574
440000,88.03701809151386,311.10139833678664
441000,66.40603979739535,440.5128743759928
442000,90.93610912168879,269.05266424872553
443000,85.8406248446554,337.5973736099986
444000,80.93343065775719,294.5126333389779
445000,79.02119352674345,257.65742215275867
446000,84.15380270703463,340.64248414664127
447000,91.90334257770883,148.6597419105175
448000,91.39809095161036,293.80422233905085
449000,84.72677360041052,302.2380733451996
450000,99.26318176849554,387.1561090952012
451000,79.52371524057526,255.8645266164399
452000,80.74729185047909,328.2893622867563
453000,76.7209168637346,435.70935145407105
454000,87.86175867539714,321.1609029948827
455000,56.32651763532067,274.37776888820196
456000,86.08239001604272,247.76946495035997
457000,72.81660381033998,218.49651438711712
458000,66.27767670664616,298.65072933924756
459000,78.82474164688028,397.87854025151637
460000,127.69049495671607,308.5339210877572
461000,102.50562860538776,299.0390213766436
462000,80.6297742210736,327.35174400870346
463000,87.10360933667653,264.52398465700225
464000,65.95975356584677,352.33157731401786
465000,79.02912067198486,422.8517106607418
466000,74.9274531311894,328.53234342388646
467000,64.46158103060588,272.8031613241145
468000,103.27846808762558,296.81109080308227
469000,77.77285511787159,228.82688736404373
470000,82.60274060939628,291.9357876554671
471000,98.7139343103463,269.4360856929035
472000,76.35743038922374,258.6545614433462
473000,107.54263152857311,235.80421794783805
474000,88.12430432912515,274.0210003096019
475000,81.17135886945834,392.0504899244052
476000,77.78435607214487,252.60421946315554
477000,65.6297289536742,337.71050380559296
478000,81.23917405147222,301.26765520282527
479000,60.22153442315869,257.3766560611724
480000,78.06363628988038,315.07197631241525
481000,79.75530307894223,248.11751384570994
482000,71.27855196476594,383.6429947638843
483000,74.49245115293911,310.4028036937504
484000,78.06530735557976,270.5525153793085
485000,101.48426546478913,468.1865970273715
486000,73.28855197024939,320.2640223067612
487000,104.31041432070197,330.2492950443007
488000,76.5894059502607,260.4854044214059
489000,93.18754434320726,281.80689313825974
490000,79.61459582865791,250.55149462032665
491000,84.08219047495913,323.5420194307467
492000,76.92959094052367,223.65321493064883
493000,81.67287524601124,271.58083842351357
494000,81.25080320140842,368.26912984090814
495000,93.16061902654019,208.44158094449796
496000,78.58899401026429,415.1555998370181
497000,107.46690141041745,243.17149458362317
498000,90.61468457907904,320.05747187598394
499000,70.19237978977617,291.89945153326863
500000,92.76494324500618,272.4123819600457
