phi_raw,energy_hartree,step,phi_deg,psi_raw,psi_deg,source_file,deltaE_kcal,boltzmann_weight,population
-99.1033534216,-535.166053873,0,-99.1033534216,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,0.0,1.0,0.026064370844254753
-89.1033534216,-535.165824063,1,-89.1033534216,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,0.1442079522603452,0.7851392297496428,0.020464160048567225
-79.1033534216,-535.165175013,2,-79.1033534216,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,0.5514929763554722,0.3965022612827092,0.010334581978658127
-69.1033534216,-535.164277093,3,-69.1033534216,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,1.1149462832138104,0.1540914054105416,0.00401629553453276
-59.1033534216,-535.163349743,4,-59.10335342159999,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,1.6968671939173956,0.0580574280407036,0.0015132303347165333
-49.1033534216,-535.162583065,5,-49.10335342159999,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,2.177964902419033,0.0259051048246306,0.000675200258908465
-39.1033534216,-535.161763916,6,-39.10335342159999,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,2.6919886605331875,0.0109377195582188,0.00028508477875587306
-29.1033534216,-535.160506874,7,-29.10335342159999,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,3.480794424761766,0.0029126859356709,7.591732638017149e-05
-19.1033534216,-535.158904927,8,-19.10335342159999,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,4.486031344132824,0.0005395027901373,1.4061800793648733e-05
-9.1033534216,-535.156840774,9,-9.10335342159999,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,5.781306907413373,6.14334556625952e-05,1.6012243706339634e-06
0.8966465784,-535.154544466,10,0.8966465784000093,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,7.222261932661018,5.478868796428258e-06,1.4280326811712184e-07
10.8966465784,-535.152996741,11,10.89664657840001,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,8.19347403325082,1.0744284634580772e-06,2.8004301917194143e-08
20.8966465784,-535.151426676,12,20.89664657840001,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,9.178704695552836,2.0580304607687106e-07,5.364126913824816e-09
30.8966465784,-535.149647865,13,30.89664657840001,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,10.29492545051347,3.164475817297849e-08,8.24800712297273e-10
40.8966465784,-535.147554621,14,40.89664657840001,113.4699791,113.4699791,sar_2d_1_tot_ener.txt,11.608455891894373,3.494738041815329e-09,9.108814832539942e-11
