phi_raw,energy_hartree,step,phi_deg,psi_raw,psi_deg,source_file,deltaE_kcal,boltzmann_weight,population
-127.7439607726,-688.999295267,0,-127.7439607726,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,0.0,1.0,0.026876275946301476
-117.7439607726,-688.998929327,1,-117.7439607726,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,0.22963081687655182,0.6803265293121755,0.01828464353538359
-107.7439607726,-688.997940355,2,-107.7439607726,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,0.850220116443002,0.2402301119802292,0.006456490780191545
-97.7439607726,-688.996422623,3,-97.7439607726,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,1.8026113254515368,0.048621100500117094,0.0013067541138540037
-87.7439607726,-688.99445281,4,-87.7439607726,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,3.038687644934601,0.006114511874289069,0.00016433530841033006
-77.7439607726,-688.992089578,5,-77.7439607726,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,4.5216381141903845,0.0005082234488963427,1.3659153654919152e-05
-67.7439607726,-688.989392156,6,-67.7439607726,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,6.214295974555687,2.9715218481337804e-05,7.986344117090723e-07
-57.7439607726,-688.986665994,7,-57.74396077259999,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,7.924988457242397,1.6856414636453567e-06,4.5303765123460115e-08
-47.7439607726,-688.984384188,8,-47.74396077259999,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,9.356843340027329,1.5264425988342901e-07,4.102509250245995e-09
-37.7439607726,-688.982860636,9,-37.74396077259999,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,10.312886654146775,3.070558067067333e-08,8.252516591964372e-10
-27.7439607726,-688.983197985,10,-27.74396077259999,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,10.10119696067004,4.379555857674154e-08,1.177061517530916e-09
-17.7439607726,-688.984126436,11,-17.74396077259999,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,9.518585161994022,1.1637347287190088e-07,3.127685569734637e-09
-7.7439607726,-688.984788076,12,-7.743960772599991,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,9.103399793631906,2.3351258197257474e-07,6.275948590028263e-09
2.2560392274,-688.985026846,13,2.2560392274000094,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,8.953569356518692,3.0023374527682865e-07,8.069164986451634e-09
12.2560392274,-688.984739261,14,12.25603922740001,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,9.134031668613844,2.218173058278237e-07,5.9616231210937364e-09
22.2560392274,-688.983768059,15,22.25603922740001,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,9.743470124756303,7.980473959244348e-08,2.144854203109242e-09
32.2560392274,-688.983943561,16,32.25603922740001,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,9.633340957020646,9.599666060870259e-08,2.58003274044294e-09
42.2560392274,-688.982701761,17,42.25603922740001,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,10.412582221835423,2.597709570409204e-08,6.981675924266604e-10
52.2560392274,-688.981245274,18,52.25603922740001,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,11.326541613119181,5.607702119164714e-09,1.5071414957933042e-10
62.2560392274,-688.979535606,19,62.25603922740001,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,12.399374480507229,9.273471499655733e-10,2.4923637900490967e-11
72.2560392274,-688.977626499,20,72.25603922739998,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,13.59735720986209,1.2431683841212737e-10,3.3411736539361063e-12
82.2560392274,-688.982431498,21,82.25603922739998,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,10.582174814845537,1.9545417125238663e-08,5.253080241434809e-10
92.2560392274,-688.983226458,22,92.25603922739998,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,10.083329883389823,4.5127987521418095e-08,1.2128722455268824e-09
102.2560392274,-688.98399306,23,102.25603922739998,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,9.602279865603238,1.0113085133872843e-07,2.7180206672640575e-09
112.2560392274,-688.984993414,24,112.25603922739998,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,8.974548253259277,2.898522616599903e-07,7.79014936803348e-09
122.2560392274,-688.986494238,25,122.25603922739998,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,8.032766974450011,1.406857720405082e-06,3.781109631079164e-08
132.2560392274,-688.988737448,26,132.25603922740004,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,6.625131447231902,1.4917342813749433e-05,4.009226218479071e-07
142.2560392274,-688.991201778,27,142.25603922740004,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,5.078741025199291,0.00019962439576308314,5.365160346142318e-06
152.2560392274,-688.993488259,28,152.25603922740004,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,3.6439525356147633,0.002215314708842745,5.953940942275812e-05
162.2560392274,-688.995545649,29,162.25603922740004,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,2.3529208188990864,0.019316685210060972,0.0005191605620734392
172.2560392274,-688.997027566,30,172.25603922740004,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,1.4230038616597445,0.09191007226779059,0.0024702004645136507
182.2560392274,-688.997966055,31,-177.74396077259996,113.4699791,113.46997909999999,pmp_2d_1_tot_ener.txt,0.8340931229377131,0.2468173673991682,0.006633531674559719
