phi_raw,energy_hartree,step,phi_deg,psi_raw,psi_deg,source_file
36.8748731365,-688.98613765,0,36.874873136500014,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
46.8748731365,-688.985843856,1,46.874873136500014,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
56.8748731365,-688.984945141,2,56.874873136500014,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
66.8748731365,-688.983355228,3,66.87487313650001,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
76.8748731365,-688.981084002,4,76.87487313650001,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
86.8748731365,-688.978621817,5,86.87487313650001,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
96.8748731365,-688.97645115,6,96.87487313650001,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
106.8748731365,-688.976682785,7,106.87487313650001,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
116.8748731365,-688.977160689,8,116.87487313650001,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
126.8748731365,-688.978526985,9,126.87487313650001,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
136.8748731365,-688.981326517,10,136.8748731365,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
146.8748731365,-688.984779518,11,146.8748731365,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
156.8748731365,-688.98820153,12,156.8748731365,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
166.8748731365,-688.991238312,13,166.8748731365,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
176.8748731365,-688.993700258,14,176.8748731365,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
186.8748731365,-688.995417818,15,-173.1251268635,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
196.8748731365,-688.996426848,16,-163.1251268635,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
206.8748731365,-688.996978214,17,-153.1251268635,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
216.8748731365,-688.997818143,18,-143.1251268635,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
226.8748731365,-688.998281005,19,-133.1251268635,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
236.8748731365,-688.997774466,20,-123.12512686349999,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
246.8748731365,-688.996306502,21,-113.12512686349999,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
256.8748731365,-688.994162057,22,-103.12512686349999,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
266.8748731365,-688.991594329,23,-93.12512686349999,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
276.8748731365,-688.988660802,24,-83.12512686349999,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
286.8748731365,-688.985233428,25,-73.12512686349999,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
296.8748731365,-688.981405601,26,-63.125126863499986,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
306.8748731365,-688.977510414,27,-53.125126863499986,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
316.8748731365,-688.974048658,28,-43.125126863499986,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
326.8748731365,-688.971427024,29,-33.125126863499986,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
336.8748731365,-688.978041725,30,-23.125126863499986,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
346.8748731365,-688.980419747,31,-13.125126863499986,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
356.8748731365,-688.982419132,32,-3.125126863499986,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
366.8748731365,-688.984047326,33,6.874873136500014,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
376.8748731365,-688.985261404,34,16.874873136500014,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
386.8748731365,-688.985979769,35,26.874873136500014,453.4699791,93.46997910000005,pmp_2d_35_tot_ener.txt
