phi_raw,energy_hartree,step,phi_deg,psi_raw,psi_deg,source_file
100.4686412412,-688.987161752,0,100.46864124119998,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
110.4686412412,-688.986518802,1,110.46864124119998,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
120.4686412412,-688.984633212,2,120.46864124119998,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
130.4686412412,-688.981811371,3,130.46864124119998,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
140.4686412412,-688.978459778,4,140.46864124119998,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
150.4686412412,-688.974825064,5,150.46864124119998,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
160.4686412412,-688.970994319,6,160.46864124119998,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
170.4686412412,-688.967866822,7,170.46864124119998,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
180.4686412412,-688.964784715,8,-179.53135875880002,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
190.4686412412,-688.961720279,9,-169.53135875880002,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
200.4686412412,-688.959250719,10,-159.53135875880002,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
210.4686412412,-688.964168767,11,-149.53135875880002,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
220.4686412412,-688.968230952,12,-139.53135875880002,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
230.4686412412,-688.972315534,13,-129.53135875880002,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
240.4686412412,-688.976385317,14,-119.53135875880002,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
250.4686412412,-688.980369454,15,-109.53135875880002,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
260.4686412412,-688.983900536,16,-99.53135875880002,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
270.4686412412,-688.986310435,17,-89.53135875880002,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
280.4686412412,-688.987281652,18,-79.53135875880002,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
290.4686412412,-688.986721967,19,-69.53135875880002,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
300.4686412412,-688.984746564,20,-59.531358758800025,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
310.4686412412,-688.981708189,21,-49.531358758800025,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
320.4686412412,-688.978010538,22,-39.531358758800025,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
330.4686412412,-688.973945564,23,-29.531358758800025,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
340.4686412412,-688.969660857,24,-19.531358758800025,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
350.4686412412,-688.965276505,25,-9.531358758800025,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
360.4686412412,-688.961038256,26,0.4686412411999754,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
370.4686412412,-688.957105133,27,10.468641241199975,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
380.4686412412,-688.953617313,28,20.468641241199975,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
390.4686412412,-688.950655589,29,30.468641241199975,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
400.4686412412,-688.948399194,30,40.468641241199975,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
410.4686412412,-688.974057368,31,50.468641241199975,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
420.4686412412,-688.978134104,32,60.468641241199975,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
430.4686412412,-688.981772452,33,70.46864124119998,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
440.4686412412,-688.984661299,34,80.46864124119998,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
450.4686412412,-688.986503695,35,90.46864124119998,383.4699791,23.469979100000046,pmp_2d_28_tot_ener.txt
