#"Step","Potential Energy (kJ/mole)","Temperature (K)"
501000,107.33445497459616,317.18298356539566
502000,151.42601872499654,314.8419442605221
503000,138.920443122508,320.99136597265374
504000,135.24162037214364,382.1951273549425
505000,128.27328792673597,256.9214886226167
506000,130.5640711527176,389.8010852284193
507000,148.1152728785337,274.5309131892199
508000,122.08883884266834,338.6079762148787
509000,123.56269934629381,246.5448027556775
510000,131.39788724608172,262.59633554579597
511000,126.32313008498659,257.98807983549176
512000,124.09683453790785,316.1891425738361
513000,132.66129883807844,351.2052464078313
514000,160.76236953537477,220.97429719708026
515000,152.38475694608735,295.68099234294107
516000,113.88027545322075,227.84600097609268
517000,120.68789101525726,246.10837895481052
518000,139.17193847851559,378.307412546998
519000,142.73456766820652,389.5363171553783
520000,153.01311926691596,286.49271217281023
521000,126.4774527369429,250.00915937986457
522000,174.1240028245229,299.79545552966607
523000,120.95620549798787,280.92166305710276
524000,118.61010393171114,308.9244532118742
525000,121.91418962875468,326.09882493566136
526000,132.81715855564107,274.41265239208093
527000,119.95908147880891,451.6393492096538
528000,121.99346288770903,320.0994303601983
529000,143.13695295345838,304.94003287557524
530000,118.57620483203209,229.93557801639759
531000,128.12119262124088,238.04779784889956
532000,136.26404415442084,343.1404650612966
533000,128.36848990369754,268.3017516133908
534000,152.76422130616538,261.00661374216725
535000,129.58073439714644,292.4946105479633
536000,130.15635103137902,290.5399980076701
537000,129.9181926657766,342.87319035982244
538000,123.39270321994059,298.6125456713325
539000,116.53884442416893,213.7823406701323
540000,97.73213016880254,369.22179739938895
541000,126.72551282618952,277.5457068953819
542000,125.26980871468004,238.5783221587406
543000,111.16962877682818,328.76914166832466
544000,120.01758489441409,351.6892447274746
545000,152.91715712878067,332.81762940247336
546000,104.75756713801456,240.25585407549266
547000,113.5220758143696,292.26015581734237
548000,128.10452484419147,362.16685766821365
549000,135.42443806583105,315.41524828191325
550000,127.07448081959012,278.1964866456204
551000,115.15363942875683,276.3545929928464
552000,136.6950624466317,276.9059152010362
553000,135.60466938708305,359.1787649593774
554000,152.28412377287168,295.89223087045514
555000,127.89964461496163,283.77239846127134
556000,136.00021680891314,313.2166259132489
557000,132.45371332625473,368.77703627157746
558000,120.11068378669461,316.2895664072536
559000,151.89815646546413,354.3303101852721
560000,146.16099695612616,286.97363683219004
561000,132.92444567917846,277.03464655675697
562000,126.92863210695214,307.78330017108584
563000,136.19442766947031,204.77611055969027
564000,120.57076666359262,306.7338994807024
565000,127.4608679585217,259.8627279182671
566000,97.72239229502156,339.5911590663756
567000,143.50125277707048,275.8142313403182
568000,145.61936069797957,461.4187330382851
569000,114.1853091416342,248.18951114096845
570000,108.34654871847306,330.97937083377485
571000,138.9867726766097,299.56815319532774
572000,138.85421773831695,264.3391504589568
573000,128.71984489861643,272.0680818808385
574000,119.04870507170745,353.2954896002852
575000,131.03622085815005,347.5547311135245
576000,115.43598112545624,327.95150233035656
577000,114.76409053994576,305.61985124392896
578000,132.972046138495,320.1165650407502
579000,147.65743179159472,313.86979995351606
580000,120.38584278091321,297.6126488923346
581000,129.63335764047224,215.97718981150192
582000,106.01484319673727,281.15040414595603
583000,110.22165467107698,234.38931098033956
584000,125.31395349790648,391.531139260227
585000,135.81102820060187,282.6354811227835
586000,135.71472502180404,290.0516115448297
587000,136.93297051776608,325.680187441237
588000,123.30765559422548,300.2099991127713
589000,109.32229956041556,378.73703456270135
590000,170.36472497870272,369.2775301047299
591000,149.15289734278304,325.10907199871986
592000,109.49934283033508,274.2295281972727
593000,125.02172505026465,350.3365387944674
594000,119.85967380797229,232.5178330069681
595000,119.26582605622889,358.7083863135688
596000,116.23568218714172,313.99793245703086
597000,119.1509037501018,305.6186563450304
598000,134.32250468058805,228.01668422098766
599000,111.93852405178359,264.236895043033
600000,124.77570445830781,173.35569961173712
