# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      -79.4316551796     -688.9932413210
      -69.4316551796     -688.9929923830
      -59.4316551796     -688.9921054510
      -49.4316551796     -688.9906261620
      -39.4316551796     -688.9885076660
      -29.4316551796     -688.9858689800
      -19.4316551796     -688.9827312560
       -9.4316551796     -688.9791096080
        0.5683448204     -688.9751305480
       10.5683448204     -688.9729720240
       20.5683448204     -688.9696049070
       30.5683448204     -688.9658908870
       40.5683448204     -688.9618872410
       50.5683448204     -688.9577861760
       60.5683448204     -688.9538445380
       70.5683448204     -688.9881273540
       80.5683448204     -688.9891327670
       90.5683448204     -688.9895765700
      100.5683448204     -688.9897475930
      110.5683448204     -688.9898125000
      120.5683448204     -688.9898252090
      130.5683448204     -688.9899711250
      140.5683448204     -688.9902868410
      150.5683448204     -688.9909248340
      160.5683448204     -688.9916433370
      170.5683448204     -688.9921110470
      180.5683448204     -688.9921225480
      190.5683448204     -688.9916801640
      200.5683448204     -688.9908948660
      210.5683448204     -688.9900541520
      220.5683448204     -688.9897517340
      230.5683448204     -688.9900825630
      240.5683448204     -688.9907688850
      250.5683448204     -688.9916056730
      260.5683448204     -688.9923907250
      270.5683448204     -688.9930117020
      280.5683448204     -688.9932417260
