# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      121.1018300830     -688.9896359680
      131.1018300830     -688.9890038400
      141.1018300830     -688.9872156390
      151.1018300830     -688.9847726670
      161.1018300830     -688.9825122110
      171.1018300830     -688.9799829950
      181.1018300830     -688.9769673190
      191.1018300830     -688.9734390850
      201.1018300830     -688.9695788700
      211.1018300830     -688.9658910260
      221.1018300830     -688.9631371550
      231.1018300830     -688.9669798810
      241.1018300830     -688.9708692500
      251.1018300830     -688.9750007180
      261.1018300830     -688.9791406140
      271.1018300830     -688.9829186310
      281.1018300830     -688.9859094730
      291.1018300830     -688.9877587110
      301.1018300830     -688.9881667700
      311.1018300830     -688.9871130250
      321.1018300830     -688.9849214890
      331.1018300830     -688.9820226830
      341.1018300830     -688.9786984010
      351.1018300830     -688.9750527900
      361.1018300830     -688.9711878590
      371.1018300830     -688.9671758580
      381.1018300830     -688.9631431960
      391.1018300830     -688.9593428120
      401.1018300830     -688.9559455970
      411.1018300830     -688.9531522500
      421.1018300830     -688.9736948410
      431.1018300830     -688.9777311900
      441.1018300830     -688.9815168400
      451.1018300830     -688.9847970850
      461.1018300830     -688.9873597220
      471.1018300830     -688.9890516910
      481.1018300830     -688.9896363760
