# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
     -104.5046990126     -688.9988523400
      -94.5046990126     -688.9986679820
      -84.5046990126     -688.9980667780
      -74.5046990126     -688.9972218330
      -64.5046990126     -688.9962929280
      -54.5046990126     -688.9953393500
      -44.5046990126     -688.9943250550
      -34.5046990126     -688.9932417280
      -24.5046990126     -688.9918551000
      -14.5046990126     -688.9899584280
       -4.5046990126     -688.9875392490
        5.4953009874     -688.9848685780
       15.4953009874     -688.9827511090
       25.4953009874     -688.9804046120
       35.4953009874     -688.9777279390
       45.4953009874     -688.9746255840
       55.4953009874     -688.9711069450
       65.4953009874     -688.9673888610
       75.4953009874     -688.9638471450
       85.4953009874     -688.9859233010
       95.4953009874     -688.9871612460
      105.4953009874     -688.9884498390
      115.4953009874     -688.9896643140
      125.4953009874     -688.9909509560
      135.4953009874     -688.9923809680
      145.4953009874     -688.9939141790
      155.4953009874     -688.9953466970
      165.4953009874     -688.9963870360
      175.4953009874     -688.9969091780
      185.4953009874     -688.9968585770
      195.4953009874     -688.9963457670
      205.4953009874     -688.9956140690
      215.4953009874     -688.9956695920
      225.4953009874     -688.9967919740
      235.4953009874     -688.9978686660
      245.4953009874     -688.9986058750
      255.4953009874     -688.9988523950
