# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      134.8785663622     -688.9941801970
      144.8785663622     -688.9937265720
      154.8785663622     -688.9928733350
      164.8785663622     -688.9921113770
      174.8785663622     -688.9908001650
      184.8785663622     -688.9887264520
      194.8785663622     -688.9858652800
      204.8785663622     -688.9823506140
      214.8785663622     -688.9786216500
      224.8785663622     -688.9752429090
      234.8785663622     -688.9734864890
      244.8785663622     -688.9741087020
      254.8785663622     -688.9764110080
      264.8785663622     -688.9794622720
      274.8785663622     -688.9826761510
      284.8785663622     -688.9855315700
      294.8785663622     -688.9876869460
      304.8785663622     -688.9889107020
      314.8785663622     -688.9890868750
      324.8785663622     -688.9883678990
      334.8785663622     -688.9869037520
      344.8785663622     -688.9849810130
      354.8785663622     -688.9827069320
      364.8785663622     -688.9800969780
      374.8785663622     -688.9771449780
      384.8785663622     -688.9738569970
      394.8785663622     -688.9702991500
      404.8785663622     -688.9666551800
      414.8785663622     -688.9633087920
      424.8785663622     -688.9769032550
      434.8785663622     -688.9806027110
      444.8785663622     -688.9840075140
      454.8785663622     -688.9871001010
      464.8785663622     -688.9897897540
      474.8785663622     -688.9918861520
      484.8785663622     -688.9935810330
      494.8785663622     -688.9941807660
