# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       17.8567713310     -688.9856374720
       27.8567713310     -688.9854093880
       37.8567713310     -688.9849209950
       47.8567713310     -688.9841374750
       57.8567713310     -688.9828816930
       67.8567713310     -688.9811327720
       77.8567713310     -688.9790214290
       87.8567713310     -688.9739558290
       97.8567713310     -688.9813817230
      107.8567713310     -688.9814839850
      117.8567713310     -688.9821442390
      127.8567713310     -688.9837223630
      137.8567713310     -688.9862373030
      147.8567713310     -688.9891098000
      157.8567713310     -688.9918126000
      167.8567713310     -688.9940231000
      177.8567713310     -688.9955620120
      187.8567713310     -688.9963340950
      197.8567713310     -688.9964751050
      207.8567713310     -688.9964010830
      217.8567713310     -688.9968159500
      227.8567713310     -688.9970809000
      237.8567713310     -688.9966398860
      247.8567713310     -688.9954914790
      257.8567713310     -688.9937753620
      267.8567713310     -688.9916106800
      277.8567713310     -688.9890414800
      287.8567713310     -688.9860435230
      297.8567713310     -688.9828188340
      307.8567713310     -688.9797300170
      317.8567713310     -688.9771669710
      327.8567713310     -688.9756297630
      337.8567713310     -688.9826327380
      347.8567713310     -688.9844518200
      357.8567713310     -688.9858545890
      367.8567713310     -688.9868758540
      377.8567713310     -688.9876174830
