# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      166.8544910193     -688.9967843980
      176.8544910193     -688.9964979920
      186.8544910193     -688.9954883100
      196.8544910193     -688.9937541530
      206.8544910193     -688.9914464720
      216.8544910193     -688.9887823600
      226.8544910193     -688.9861220460
      236.8544910193     -688.9839811610
      246.8544910193     -688.9828498420
      256.8544910193     -688.9823034050
      266.8544910193     -688.9822617480
      276.8544910193     -688.9835446050
      286.8544910193     -688.9852107470
      296.8544910193     -688.9867182440
      306.8544910193     -688.9877445810
      316.8544910193     -688.9883111900
      326.8544910193     -688.9882536010
      336.8544910193     -688.9878432570
      346.8544910193     -688.9874053180
      356.8544910193     -688.9867382160
      366.8544910193     -688.9857614650
      376.8544910193     -688.9843738370
      386.8544910193     -688.9825647650
      396.8544910193     -688.9803188530
      406.8544910193     -688.9777078210
      416.8544910193     -688.9749621240
      426.8544910193     -688.9854227580
      436.8544910193     -688.9884691380
      446.8544910193     -688.9911616860
      456.8544910193     -688.9934210170
      466.8544910193     -688.9952500480
      476.8544910193     -688.9965916220
      486.8544910193     -688.9972803620
      496.8544910193     -688.9972603400
      506.8544910193     -688.9967222150
      516.8544910193     -688.9966373340
      526.8544910193     -688.9967846570
