# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      129.9616154004     -688.9917685880
      139.9616154004     -688.9911602770
      149.9616154004     -688.9896980760
      159.9616154004     -688.9881804520
      169.9616154004     -688.9864258390
      179.9616154004     -688.9840496220
      189.9616154004     -688.9809403480
      199.9616154004     -688.9772245840
      209.9616154004     -688.9732617300
      219.9616154004     -688.9696797430
      229.9616154004     -688.9679999750
      239.9616154004     -688.9702762130
      249.9616154004     -688.9737315080
      259.9616154004     -688.9775641880
      269.9616154004     -688.9813285790
      279.9616154004     -688.9846100120
      289.9616154004     -688.9870742630
      299.9616154004     -688.9884885130
      309.9616154004     -688.9886531090
      319.9616154004     -688.9876130920
      329.9616154004     -688.9856255140
      339.9616154004     -688.9830894600
      349.9616154004     -688.9801750970
      359.9616154004     -688.9769402720
      369.9616154004     -688.9734287260
      379.9616154004     -688.9696962270
      389.9616154004     -688.9658324060
      399.9616154004     -688.9620612420
      409.9616154004     -688.9587281300
      419.9616154004     -688.9562031010
      429.9616154004     -688.9769365580
      439.9616154004     -688.9806584020
      449.9616154004     -688.9841576660
      459.9616154004     -688.9872502340
      469.9616154004     -688.9896741770
      479.9616154004     -688.9912447900
      489.9616154004     -688.9917691590
