# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      171.9135122726     -688.9974899380
      181.9135122726     -688.9971865220
      191.9135122726     -688.9962003350
      201.9135122726     -688.9946236150
      211.9135122726     -688.9925987720
      221.9135122726     -688.9903503290
      231.9135122726     -688.9882408490
      241.9135122726     -688.9866765840
      251.9135122726     -688.9857038580
      261.9135122726     -688.9849612900
      271.9135122726     -688.9843026310
      281.9135122726     -688.9828136160
      291.9135122726     -688.9848322090
      301.9135122726     -688.9857367460
      311.9135122726     -688.9863650150
      321.9135122726     -688.9867905650
      331.9135122726     -688.9869478300
      341.9135122726     -688.9869408330
      351.9135122726     -688.9872779500
      361.9135122726     -688.9872977510
      371.9135122726     -688.9868660750
      381.9135122726     -688.9860040730
      391.9135122726     -688.9847352820
      401.9135122726     -688.9830974610
      411.9135122726     -688.9811791810
      421.9135122726     -688.9878738260
      431.9135122726     -688.9905125660
      441.9135122726     -688.9929677650
      451.9135122726     -688.9950208800
      461.9135122726     -688.9965958440
      471.9135122726     -688.9976650420
      481.9135122726     -688.9981970270
      491.9135122726     -688.9980818260
      501.9135122726     -688.9973607780
      511.9135122726     -688.9968420280
      521.9135122726     -688.9972436950
      531.9135122726     -688.9974900310
