# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      100.4686412412     -688.9871617520
      110.4686412412     -688.9865188020
      120.4686412412     -688.9846332120
      130.4686412412     -688.9818113710
      140.4686412412     -688.9784597780
      150.4686412412     -688.9748250640
      160.4686412412     -688.9709943190
      170.4686412412     -688.9678668220
      180.4686412412     -688.9647847150
      190.4686412412     -688.9617202790
      200.4686412412     -688.9592507190
      210.4686412412     -688.9641687670
      220.4686412412     -688.9682309520
      230.4686412412     -688.9723155340
      240.4686412412     -688.9763853170
      250.4686412412     -688.9803694540
      260.4686412412     -688.9839005360
      270.4686412412     -688.9863104350
      280.4686412412     -688.9872816520
      290.4686412412     -688.9867219670
      300.4686412412     -688.9847465640
      310.4686412412     -688.9817081890
      320.4686412412     -688.9780105380
      330.4686412412     -688.9739455640
      340.4686412412     -688.9696608570
      350.4686412412     -688.9652765050
      360.4686412412     -688.9610382560
      370.4686412412     -688.9571051330
      380.4686412412     -688.9536173130
      390.4686412412     -688.9506555890
      400.4686412412     -688.9483991940
      410.4686412412     -688.9740573680
      420.4686412412     -688.9781341040
      430.4686412412     -688.9817724520
      440.4686412412     -688.9846612990
      450.4686412412     -688.9865036950
      460.4686412412     -688.9871618510
