# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       72.4986355934     -688.9870863220
       82.4986355934     -688.9862942830
       92.4986355934     -688.9839962490
      102.4986355934     -688.9806036110
      112.4986355934     -688.9766870150
      122.4986355934     -688.9726640180
      132.4986355934     -688.9686801800
      142.4986355934     -688.9648477900
      152.4986355934     -688.9611484760
      162.4986355934     -688.9619581600
      172.4986355934     -688.9656725940
      182.4986355934     -688.9691092150
      192.4986355934     -688.9726130250
      202.4986355934     -688.9762223850
      212.4986355934     -688.9800625440
      222.4986355934     -688.9835512820
      232.4986355934     -688.9863430330
      242.4986355934     -688.9880868970
      252.4986355934     -688.9886318110
      262.4986355934     -688.9879173250
      272.4986355934     -688.9860739380
      282.4986355934     -688.9832827650
      292.4986355934     -688.9797194770
      302.4986355934     -688.9756917550
      312.4986355934     -688.9714273870
      322.4986355934     -688.9670361900
      332.4986355934     -688.9626640030
      342.4986355934     -688.9586158840
      352.4986355934     -688.9550871140
      362.4986355934     -688.9522782930
      372.4986355934     -688.9701911980
      382.4986355934     -688.9742248740
      392.4986355934     -688.9780482620
      402.4986355934     -688.9814827040
      412.4986355934     -688.9843382720
      422.4986355934     -688.9863349300
      432.4986355934     -688.9870863080
