# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
     -113.1118859288     -688.9989853530
     -103.1118859288     -688.9986981030
      -93.1118859288     -688.9979311560
      -83.1118859288     -688.9968166300
      -73.1118859288     -688.9954120560
      -63.1118859288     -688.9940306700
      -53.1118859288     -688.9927740470
      -43.1118859288     -688.9918226970
      -33.1118859288     -688.9911108030
      -23.1118859288     -688.9904320600
      -13.1118859288     -688.9893826630
       -3.1118859288     -688.9878062480
        6.8881140712     -688.9856626040
       16.8881140712     -688.9838024940
       26.8881140712     -688.9819320900
       36.8881140712     -688.9797095340
       46.8881140712     -688.9771382910
       56.8881140712     -688.9742504570
       66.8881140712     -688.9712173740
       76.8881140712     -688.9685780730
       86.8881140712     -688.9855412870
       96.8881140712     -688.9867562720
      106.8881140712     -688.9878718430
      116.8881140712     -688.9892073480
      126.8881140712     -688.9907109490
      136.8881140712     -688.9923911740
      146.8881140712     -688.9940911280
      156.8881140712     -688.9956699720
      166.8881140712     -688.9968092080
      176.8881140712     -688.9974567850
      186.8881140712     -688.9975221750
      196.8881140712     -688.9970733930
      206.8881140712     -688.9963811590
      216.8881140712     -688.9968484670
      226.8881140712     -688.9979701100
      236.8881140712     -688.9987353760
      246.8881140712     -688.9989854290
