# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      -83.9051110736     -688.9979251890
      -73.9051110736     -688.9977669240
      -63.9051110736     -688.9971367160
      -53.9051110736     -688.9961315850
      -43.9051110736     -688.9947288540
      -33.9051110736     -688.9927698430
      -23.9051110736     -688.9902075550
      -13.9051110736     -688.9872712740
       -3.9051110736     -688.9844002440
        6.0948889264     -688.9813583310
       16.0948889264     -688.9779325070
       26.0948889264     -688.9743296890
       36.0948889264     -688.9704550350
       46.0948889264     -688.9661655570
       56.0948889264     -688.9615994230
       66.0948889264     -688.9568928310
       76.0948889264     -688.9523944530
       86.0948889264     -688.9486416110
       96.0948889264     -688.9879848440
      106.0948889264     -688.9892559350
      116.0948889264     -688.9902083380
      126.0948889264     -688.9910258350
      136.0948889264     -688.9921416610
      146.0948889264     -688.9933099160
      156.0948889264     -688.9943686610
      166.0948889264     -688.9951375270
      176.0948889264     -688.9954608270
      186.0948889264     -688.9953066650
      196.0948889264     -688.9947745910
      206.0948889264     -688.9940906760
      216.0948889264     -688.9935437860
      226.0948889264     -688.9945430750
      236.0948889264     -688.9955241780
      246.0948889264     -688.9964725740
      256.0948889264     -688.9972419370
      266.0948889264     -688.9977291990
      276.0948889264     -688.9979256020
