# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      135.2408840472     -688.9961324280
      145.2408840472     -688.9958005750
      155.2408840472     -688.9953925030
      165.2408840472     -688.9952076940
      175.2408840472     -688.9945098410
      185.2408840472     -688.9930686170
      195.2408840472     -688.9908932660
      205.2408840472     -688.9880134670
      215.2408840472     -688.9847294660
      225.2408840472     -688.9816022430
      235.2408840472     -688.9792430780
      245.2408840472     -688.9784301000
      255.2408840472     -688.9788108510
      265.2408840472     -688.9805671080
      275.2408840472     -688.9829264110
      285.2408840472     -688.9853285690
      295.2408840472     -688.9872914940
      305.2408840472     -688.9886054170
      315.2408840472     -688.9891047420
      325.2408840472     -688.9888385960
      335.2408840472     -688.9879920270
      345.2408840472     -688.9868399480
      355.2408840472     -688.9854158010
      365.2408840472     -688.9836593350
      375.2408840472     -688.9815205040
      385.2408840472     -688.9789712390
      395.2408840472     -688.9760166430
      405.2408840472     -688.9727758620
      415.2408840472     -688.9695105030
      425.2408840472     -688.9807529400
      435.2408840472     -688.9842127380
      445.2408840472     -688.9873368960
      455.2408840472     -688.9900562330
      465.2408840472     -688.9924424610
      475.2408840472     -688.9943940120
      485.2408840472     -688.9956844600
      495.2408840472     -688.9961329030
