# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       47.0166844035     -688.9868166260
       57.0166844035     -688.9863645950
       67.0166844035     -688.9849838240
       77.0166844035     -688.9826906260
       87.0166844035     -688.9797269260
       97.0166844035     -688.9764306270
      107.0166844035     -688.9732635900
      117.0166844035     -688.9700975650
      127.0166844035     -688.9723613810
      137.0166844035     -688.9745453290
      147.0166844035     -688.9780162590
      157.0166844035     -688.9819982040
      167.0166844035     -688.9857752290
      177.0166844035     -688.9890329560
      187.0166844035     -688.9915251300
      197.0166844035     -688.9932161920
      207.0166844035     -688.9944688230
      217.0166844035     -688.9957939660
      227.0166844035     -688.9965002370
      237.0166844035     -688.9959993220
      247.0166844035     -688.9943774430
      257.0166844035     -688.9920898480
      267.0166844035     -688.9892188990
      277.0166844035     -688.9858950850
      287.0166844035     -688.9821261470
      297.0166844035     -688.9779764110
      307.0166844035     -688.9737005060
      317.0166844035     -688.9697027720
      327.0166844035     -688.9663774920
      337.0166844035     -688.9641858860
      347.0166844035     -688.9761795990
      357.0166844035     -688.9790090230
      367.0166844035     -688.9814749720
      377.0166844035     -688.9835962890
      387.0166844035     -688.9853181970
      397.0166844035     -688.9864141400
      407.0166844035     -688.9868164900
