# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      179.1162534465     -535.1639094220
      189.1162534465     -535.1636633710
      199.1162534465     -535.1629798280
      209.1162534465     -535.1617893550
      219.1162534465     -535.1603526630
      229.1162534465     -535.1588337060
      239.1162534465     -535.1574153240
      249.1162534465     -535.1562276410
      259.1162534465     -535.1552516970
      269.1162534465     -535.1543456960
      279.1162534465     -535.1531535110
      289.1162534465     -535.1514625120
      299.1162534465     -535.1492657800
      309.1162534465     -535.1466916430
      319.1162534465     -535.1439703540
      329.1162534465     -535.1493280600
      339.1162534465     -535.1512616310
      349.1162534465     -535.1529566790
      359.1162534465     -535.1543922570
      369.1162534465     -535.1567168230
      379.1162534465     -535.1589339310
      389.1162534465     -535.1607041650
      399.1162534465     -535.1620892620
      409.1162534465     -535.1629977920
      419.1162534465     -535.1633779790
      429.1162534465     -535.1646849060
      439.1162534465     -535.1654420330
      449.1162534465     -535.1659321810
      459.1162534465     -535.1660083970
      469.1162534465     -535.1656200010
      479.1162534465     -535.1648313940
      489.1162534465     -535.1637788750
      499.1162534465     -535.1627008630
      509.1162534465     -535.1623593870
      519.1162534465     -535.1630428030
      529.1162534465     -535.1636564590
      539.1162534465     -535.1639094190
      549.1162534465     -535.1636639060
