# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
     -179.8770218996     -535.1642961750
     -169.8770218996     -535.1640442790
     -159.8770218996     -535.1632725760
     -149.8770218996     -535.1619767840
     -139.8770218996     -535.1604370020
     -129.8770218996     -535.1588045900
     -119.8770218996     -535.1572117650
     -109.8770218996     -535.1559635360
      -99.8770218996     -535.1549104850
      -89.8770218996     -535.1539923810
      -79.8770218996     -535.1528786110
      -69.8770218996     -535.1513665500
      -59.8770218996     -535.1494085510
      -49.8770218996     -535.1471545440
      -39.8770218996     -535.1487754730
      -29.8770218996     -535.1504433440
      -19.8770218996     -535.1518451480
       -9.8770218996     -535.1531056840
        0.1229781004     -535.1549927080
       10.1229781004     -535.1570115890
       20.1229781004     -535.1585485330
       30.1229781004     -535.1597159870
       40.1229781004     -535.1606380580
       50.1229781004     -535.1613704360
       60.1229781004     -535.1621792640
       70.1229781004     -535.1630660650
       80.1229781004     -535.1643522900
       90.1229781004     -535.1653655580
      100.1229781004     -535.1659082190
      110.1229781004     -535.1659085220
      120.1229781004     -535.1654013220
      130.1229781004     -535.1644853870
      140.1229781004     -535.1633415000
      150.1229781004     -535.1628244920
      160.1229781004     -535.1634517030
      170.1229781004     -535.1640451510
      180.1229781004     -535.1642961390
      190.1229781004     -535.1640443130
