# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      172.6697391040     -535.1644448660
      182.6697391040     -535.1641086310
      192.6697391040     -535.1630770650
      202.6697391040     -535.1614155570
      212.6697391040     -535.1592425300
      222.6697391040     -535.1567018410
      232.6697391040     -535.1542997190
      242.6697391040     -535.1523817010
      252.6697391040     -535.1514413430
      262.6697391040     -535.1509200010
      272.6697391040     -535.1505853470
      282.6697391040     -535.1502666330
      292.6697391040     -535.1516274840
      302.6697391040     -535.1527983510
      312.6697391040     -535.1535433390
      322.6697391040     -535.1537765840
      332.6697391040     -535.1535785260
      342.6697391040     -535.1533051100
      352.6697391040     -535.1532218780
      362.6697391040     -535.1528945240
      372.6697391040     -535.1521961120
      382.6697391040     -535.1511220370
      392.6697391040     -535.1495880840
      402.6697391040     -535.1476309590
      412.6697391040     -535.1454795220
      422.6697391040     -535.1531302160
      432.6697391040     -535.1558585060
      442.6697391040     -535.1585293270
      452.6697391040     -535.1607950670
      462.6697391040     -535.1626393110
      472.6697391040     -535.1639419100
      482.6697391040     -535.1646166710
      492.6697391040     -535.1646572910
      502.6697391040     -535.1640976820
      512.6697391040     -535.1637763920
      522.6697391040     -535.1641953850
      532.6697391040     -535.1644449990
      542.6697391040     -535.1641087180
