# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       96.5468426905     -535.1541900840
      106.5468426905     -535.1536046950
      116.5468426905     -535.1517666960
      126.5468426905     -535.1489661600
      136.5468426905     -535.1455909980
      146.5468426905     -535.1419668880
      156.5468426905     -535.1381226010
      166.5468426905     -535.1345451020
      176.5468426905     -535.1316243660
      186.5468426905     -535.1289054750
      196.5468426905     -535.1266392440
      206.5468426905     -535.1335633750
      216.5468426905     -535.1374568230
      226.5468426905     -535.1412726910
      236.5468426905     -535.1449898940
      246.5468426905     -535.1485642120
      256.5468426905     -535.1515602210
      266.5468426905     -535.1535189730
      276.5468426905     -535.1541366470
      286.5468426905     -535.1533628390
      296.5468426905     -535.1514346690
      306.5468426905     -535.1485497790
      316.5468426905     -535.1449492010
      326.5468426905     -535.1409510090
      336.5468426905     -535.1367771680
      346.5468426905     -535.1325327990
      356.5468426905     -535.1283692730
      366.5468426905     -535.1245029940
      376.5468426905     -535.1210927240
      386.5468426905     -535.1182028120
      396.5468426905     -535.1375864820
      406.5468426905     -535.1417786720
      416.5468426905     -535.1457367490
      426.5468426905     -535.1491999280
      436.5468426905     -535.1518853550
      446.5468426905     -535.1536052860
      456.5468426905     -535.1541901280
      466.5468426905     -535.1536048280
