# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      116.6886685473     -535.1558354320
      126.6886685473     -535.1552575010
      136.6886685473     -535.1534846740
      146.6886685473     -535.1509743580
      156.6886685473     -535.1482113190
      166.6886685473     -535.1456356000
      176.6886685473     -535.1426817720
      186.6886685473     -535.1392539540
      196.6886685473     -535.1355442230
      206.6886685473     -535.1319201860
      216.6886685473     -535.1290995920
      226.6886685473     -535.1340996520
      236.6886685473     -535.1379799890
      246.6886685473     -535.1419917820
      256.6886685473     -535.1459418550
      266.6886685473     -535.1496284200
      276.6886685473     -535.1525834360
      286.6886685473     -535.1542229170
      296.6886685473     -535.1544852990
      306.6886685473     -535.1533588910
      316.6886685473     -535.1511676210
      326.6886685473     -535.1482056110
      336.6886685473     -535.1447720480
      346.6886685473     -535.1410672650
      356.6886685473     -535.1371992010
      366.6886685473     -535.1332388790
      376.6886685473     -535.1292907680
      386.6886685473     -535.1255610510
      396.6886685473     -535.1222660280
      406.6886685473     -535.1195775970
      416.6886685473     -535.1402465940
      426.6886685473     -535.1442952800
      436.6886685473     -535.1480183140
      446.6886685473     -535.1511697540
      456.6886685473     -535.1536676580
      466.6886685473     -535.1552565580
      476.6886685473     -535.1558356620
      486.6886685473     -535.1552579680
