# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       69.2013823445     -535.1544926400
       79.2013823445     -535.1537539800
       89.2013823445     -535.1516282000
       99.2013823445     -535.1483476520
      109.2013823445     -535.1445373700
      119.2013823445     -535.1405893560
      129.2013823445     -535.1366378170
      139.2013823445     -535.1328262480
      149.2013823445     -535.1291537250
      159.2013823445     -535.1257022910
      169.2013823445     -535.1357631290
      179.2013823445     -535.1393124410
      189.2013823445     -535.1425442180
      199.2013823445     -535.1453967940
      209.2013823445     -535.1483688940
      219.2013823445     -535.1513171870
      229.2013823445     -535.1537071900
      239.2013823445     -535.1551730680
      249.2013823445     -535.1554093190
      259.2013823445     -535.1545158810
      269.2013823445     -535.1526193970
      279.2013823445     -535.1499342320
      289.2013823445     -535.1465597160
      299.2013823445     -535.1426700250
      309.2013823445     -535.1385283480
      319.2013823445     -535.1342271000
      329.2013823445     -535.1299468000
      339.2013823445     -535.1259114930
      349.2013823445     -535.1223517490
      359.2013823445     -535.1202646160
      369.2013823445     -535.1380861440
      379.2013823445     -535.1419923110
      389.2013823445     -535.1457075700
      399.2013823445     -535.1490897530
      409.2013823445     -535.1518942460
      419.2013823445     -535.1537854130
      429.2013823445     -535.1544926280
      439.2013823445     -535.1537540600
