# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      165.7694346383     -535.1634730790
      175.7694346383     -535.1631542080
      185.7694346383     -535.1621715420
      195.7694346383     -535.1603927390
      205.7694346383     -535.1579689880
      215.7694346383     -535.1551033780
      225.7694346383     -535.1520762540
      235.7694346383     -535.1495260900
      245.7694346383     -535.1482703870
      255.7694346383     -535.1479395240
      265.7694346383     -535.1480811590
      275.7694346383     -535.1488209010
      285.7694346383     -535.1502974370
      295.7694346383     -535.1529814550
      305.7694346383     -535.1541982850
      315.7694346383     -535.1546881230
      325.7694346383     -535.1545441610
      335.7694346383     -535.1538709370
      345.7694346383     -535.1531061220
      355.7694346383     -535.1522061780
      365.7694346383     -535.1509775380
      375.7694346383     -535.1493750560
      385.7694346383     -535.1473682590
      395.7694346383     -535.1449449020
      405.7694346383     -535.1422025850
      415.7694346383     -535.1393624670
      425.7694346383     -535.1501685350
      435.7694346383     -535.1533699780
      445.7694346383     -535.1563305160
      455.7694346383     -535.1588897420
      465.7694346383     -535.1610585080
      475.7694346383     -535.1626968470
      485.7694346383     -535.1636583100
      495.7694346383     -535.1638661030
      505.7694346383     -535.1634647370
      515.7694346383     -535.1633200030
      525.7694346383     -535.1634734500
      535.7694346383     -535.1631545720
