# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      133.7050448666     -535.1601183150
      143.7050448666     -535.1595899610
      153.7050448666     -535.1586080540
      163.7050448666     -535.1576965960
      173.7050448666     -535.1562552490
      183.7050448666     -535.1540006120
      193.7050448666     -535.1509966990
      203.7050448666     -535.1474245810
      213.7050448666     -535.1435503840
      223.7050448666     -535.1400886890
      233.7050448666     -535.1383914100
      243.7050448666     -535.1390262630
      253.7050448666     -535.1409924090
      263.7050448666     -535.1449890810
      273.7050448666     -535.1485969790
      283.7050448666     -535.1516114980
      293.7050448666     -535.1537595450
      303.7050448666     -535.1548493140
      313.7050448666     -535.1548333080
      323.7050448666     -535.1538006440
      333.7050448666     -535.1520259290
      343.7050448666     -535.1498081330
      353.7050448666     -535.1473054740
      363.7050448666     -535.1445024780
      373.7050448666     -535.1413878310
      383.7050448666     -535.1380177260
      393.7050448666     -535.1344693140
      403.7050448666     -535.1309088800
      413.7050448666     -535.1276811310
      423.7050448666     -535.1423182830
      433.7050448666     -535.1460631560
      443.7050448666     -535.1495324790
      453.7050448666     -535.1527579520
      463.7050448666     -535.1555488550
      473.7050448666     -535.1577455110
      483.7050448666     -535.1595245090
      493.7050448666     -535.1601191440
      503.7050448666     -535.1595910590
